# xs-helper field whitelist (auto-generated, do not edit)
# format: category|ChineseName|EnglishCode
# total: 1011
#
quote|前三價|PreMatch3
quote|前二價|PreMatch2
quote|前四價|PreMatch4
quote|去年收盤價|CloseOfLastYear
quote|參考價|RefPrice
quote|均價|AvgPrice
quote|基差|Basis
quote|成交|Last
quote|振幅|DayAmplitude
quote|最低(日)|DailyLow
quote|最高(日)|DailyHigh
quote|漲停價|DailyUplimit
quote|漲跌幅|PriceChangeRatio
quote|買賣價差百分比|BidAskDiffRatio
quote|跌停價|DailyDownlimit
quote|開盤(日)|DailyOpen
quote|估計量|EstimatedTotalVolume
quote|內盤量|InSize
quote|單量|TickVolume
quote|外盤量|OutSize
quote|委買均|AvgLongUnits
quote|委賣均|AvgShortUnits
quote|成交均量|AvgDealedShare
quote|成交比重|CashDirect
quote|成交金額(元)|TotalAmount
quote|昨量|PreTotalVolume
quote|累委買筆|CulBidTicks
quote|累委賣筆|CulAskTicks
quote|累成交筆|CulMatchTicks
quote|累計委買|BidUnits
quote|累計委賣|AskUnits
quote|累計成交|MatchUnit
quote|累買成筆|CulBuyTicks
quote|累賣成筆|CulSellTicks
quote|總成交次數|TotalTicks
quote|總量(日)|DailyVolume
quote|量比|VolumeRatio
quote|開盤委買|BoughtLotsAtOpen
quote|開盤委賣|SoldLotsAtOpen
quote|開盤買均|BoughtAverageAtOpen
quote|開盤買筆|BoughtTickAtOpen
quote|開盤賣均|SoldAverageAtOpen
quote|開盤賣筆|SoldTickAtOpen
data|投資建議評級|RecommendationRating
data|月營收|Sales
data|本益比|PE
data|殖利率|Yield
data|發行張數(張)|OutStandingShares
data|總市值(元)|TotalMarketValue
data|股本(億)|CurrentCapitalinBillion
data|股本(元)|CurrentCapital
data|財報股本(億)|CurrentCapitalin100Million
data|外資成本|FBSCost
data|外資持股|Fsharesheld
data|外資持股比例|Fsharesheldratio
data|外資買張|Ftotalbuy
data|外資買賣超|Fdifference
data|外資買賣超張數|FdifferenceonStock
data|外資買賣超金額|FBSAmount
data|外資買進金額|FBAmount
data|外資賣出金額|FSAmount
data|外資賣張|Ftotalsell
data|投信成本|SBSCost
data|投信持股|Ssharesheld
data|投信持股比例|Ssharesheldratio
data|投信買張|Stotalbuy
data|投信買賣超|Sdifference
data|投信買賣超張數|SdifferenceonStock
data|投信買賣超金額|SBSAmount
data|投信買進金額|SBAmount
data|投信賣出金額|SSAmount
data|投信賣張|Stotalsell
data|法人持股|InvestorSharesHeld
data|法人持股比例|InvestorSharesHeldRatio
data|法人買張|InvestorTotalBuy
data|法人買賣超|InvestorDifferenceTotal
data|法人買賣超張數|InvestorDifference
data|法人買賣超金額|InvestorDifferenceAmount
data|法人買進比重|InvestorLongRatio
data|法人買進金額|InvestorTotalBuyAmount
data|法人賣出比重|InvestorShortRatio
data|法人賣出金額|InvestorTotalSellAmount
data|法人賣張|InvestorTotalSell
data|自營商成本|DBSCost
data|自營商持股|Dsharesheld
data|自營商持股比例|Dsharesheldratio
data|自營商自行買賣買張|DSelftotalbuy
data|自營商自行買賣買賣超|DSelfdifference
data|自營商自行買賣買賣超金額|DSelfDifferenceAmount
data|自營商自行買賣買進金額|DSelfTotalBuyAmount
data|自營商自行買賣賣出金額|DSelfTotalSellAmount
data|自營商自行買賣賣張|DSelftotalsell
data|自營商買張|Dtotalbuy
data|自營商買賣超|Ddifference
data|自營商買賣超張數|DdifferenceonStock
data|自營商買賣超金額|DBSAmount
data|自營商買進金額|DBAmount
data|自營商賣出金額|DSAmount
data|自營商賣張|Dtotalsell
data|自營商避險買張|DtotalHedgebuy
data|自營商避險買賣超|DHedgedifference
data|自營商避險買賣超金額|DHedgeDifferenceAmount
data|自營商避險買進金額|DTotalHedgeBuyAmount
data|自營商避險賣出金額|DTotalHedgeSellAmount
data|自營商避險賣張|DtotalHedgesell
data|主力成本|LeaderCost
data|主力持股|Leadersharesheld
data|主力累計買賣超金額|MBSCumAmount
data|主力買張|Leadertotalbuy
data|主力買賣超張數|LeaderDifference
data|主力買進金額|MBAmount
data|主力賣出金額|MSAmount
data|主力賣張|Leadertotalsell
data|主動性交易比重|ActTradeRatio
data|主動買力|ActLongForce
data|主動賣力|ActShortForce
data|分公司交易家數|BranchesOfTrading
data|分公司淨買超金額家數|BranchesOfNetBought
data|分公司淨賣超金額家數|BranchesOfNetSold
data|分公司買進家數|LongBranches
data|分公司賣出家數|ShortBranches
data|吉尼係數|GiniCoefficient
data|地緣券商買賣超張數|GBDifference
data|官股券商累計買賣超金額|OBBSCumAmount
data|官股券商買賣超張數|OBDifference
data|官股券商買進金額|OBBAmount
data|官股券商賣出金額|OBSAmount
data|市場總分點數|TotalBranches
data|控盤者成本線|CostLine
data|控盤者買張|Controllertotalbuy
data|控盤者買賣超張數|Controllerdifference
data|控盤者賣張|Controllertotalsell
data|收集派發指標|ADIndicator
data|綜合前十大券商累計買賣超金額|IB10BSCumAmount
data|綜合前十大券商買賣超張數|IB10Difference
data|綜合前十大券商買進金額|IB10BAmount
data|綜合前十大券商賣出金額|IB10SAmount
data|買家數|NetLongBranches
data|買進公司家數|LongSecurityFirms
data|賣出公司家數|ShortSecurityFirms
data|賣家數|NetShortBranches
data|關聯券商買賣超張數|CorrelationBrokerDifference
data|關鍵券商買賣超張數|KeyBrokerDifference
data|借券賣出還券張數|SBStcokDiff
data|券資比|ShortSale／Margin
data|融券使用率|ShortSell％
data|融券增減張數|Shortsalenew
data|融券買進張數|ShortSaleRecall
data|融券賣出張數|ShortSales
data|融券餘額張數|Shortsaleremain
data|融資使用率|Pomusingratio
data|融資增減|pomDiff
data|融資增減張數|Pomnew
data|融資增減金額|IndexPOMDiff
data|融資維持率|Pomremainratio
data|融資買進張數|POMBuy
data|融資買進金額|IndexPOMBuySideAmount
data|融資賣出張數|POMSell
data|融資賣出金額|IndexPOMSellSideAmount
data|融資餘額|Pomremainbycomm
data|融資餘額張數|Pomremain
data|融資餘額金額|IndexPOMRemain
data|資券互抵張數|MarginTrades
data|還券張數|SBLreturn
data|CB剩餘張數|CBConversionAmount
data|借券張數|SBLBorrowing
data|借券賣出張數|SBUnits
data|借券賣出餘額張數|SBRemain
data|借券餘額張數|SBLbalance
data|內部人持股|InsiderHodings
data|內部人持股張數|Insidersharesheld
data|內部人持股比例|Insidersharesheldratio
data|內部人持股異動|InsiderHodingsDiff
data|大戶持股人數|Bigsharesheldpeople
data|大戶持股張數|Bigsharesheld
data|大戶持股比例|Bigsharesheldratio
data|實戶買張|Operatortotalbuy
data|實戶買賣超張數|Operatordifference
data|實戶賣張|OperatortotalSell
data|實質買盤比|RealLongRatio
data|實質賣盤比|RealShortRatio
data|庫藏股實際買回張數|Stockbuyvalue
data|庫藏股申請家數|BranchesStock
data|庫藏股申請總市值|StockTotalValue
data|庫藏股預計買回張數|Stockestivalue
data|散戶持股人數|Retailsharesheldpeople
data|散戶持股張數|Retailsharesheld
data|散戶持股比例|Retailsharesheldratio
data|散戶買張|Retailtotalbuy
data|散戶買賣超張數|Retaildifference
data|散戶賣張|Retailtotalsell
data|新產能預計量產日期|DateOfNewProductionCapacity
data|機構持股|13FHoldings
data|機構持股比重|13FHoldingsRate
data|現券償還張數|ShortSalesRS
data|現增比率|RatioofCashIncrement
data|現增金額|PriceofCashIncrement
data|現股當沖張數|NormalDayTrades
data|現股當沖買進金額|DayTradeBValue
data|現股當沖賣出金額|DayTradeSValue
data|現金償還張數|POMRC
data|申報人數|DTPeople
data|申報家數|DTBranches
data|申報總市值|DTTotalValue
data|當日沖銷張數|Daytradeshares
data|總持股人數|TotalSharesHeldPeople
data|董監持股佔股本比例|DirectorHeld／Capital
data|董監質設比例|DSmortgageratio
data|估計量|EstimateVolume
data|內盤量|TradeVolumeAtBid
data|參考價|RefPrice
data|均價|AvgPrice
data|外盤量|TradeVolumeAtAsk
data|成交量|Volume
data|成交金額(元)|TradeValue
data|收盤價|Close
data|日期|Date
data|時間|Time
data|最低價|Low
data|最高價|High
data|漲停價|UpLimit
data|買入價|BidPrice
data|賣出價|AskPrice
data|跌停價|DownLimit
data|開盤價|Open
data|停止轉換結束日|StopConvertingED
data|停止轉換起始日|StopConvertingSD
data|庫藏股結束日期|Stockenddate
data|庫藏股開始日期|Stockstartdate
data|新股上市日|LaunchDayOfNewShares
data|最後交易日|LastTradeDate
data|最後過戶日期|LastTransferDay
data|法說會日期|InvestorConferenceDate
data|減資新股上市日|LaunchDayOfCapitalReduction
data|減資日期|CapitalReductionDate
data|減資最後過戶日|LastTransferDateOfCapitalReduction
data|減資比例|CapitalReductionRatio
data|現增價格|CashIncrementAmount
data|現增新股上市日|LaunchDayOfNewSharesCashIncrement
data|現增最後過戶日|LastTransferDayOfCashIncrement
data|現增繳款日期|DateofCashIncrement
data|股東會日期|DateofMeetingofShareHolders
data|處置結束日期|DispositionED
data|處置開始日期|DispositionSD
data|融券最後回補日|ShortSaleFinalRecallDate
data|除息值|ExDividendValue
data|除息年度|ExDividendYear
data|除息日期|ExDividendDate
data|除權值|ExRightValue
data|除權年度|ExRightYear
data|除權息值|ExDividendRightValue
data|除權息年度|ExDividendRightYear
data|除權息日期|ExDividendRightDate
data|除權日期|ExRightDate
data|TW50KD多空家數|TW50KDLongShortSecurities
data|TW50MTM多空家數|TW50MTMLongShortSecurities
data|TW50上昇趨勢家數|TW50UpTrendSecurities
data|TW50價格上漲家數|TW50PriceUpSecurities
data|TW50創新低家數|TW50NewLowSecurities
data|TW50創新高家數|TW50NewHighSecurities
data|TW50均線多空家數|TW50MALongShortSecurities
data|TW50大單成交次數|TW50BidTickCountXL
data|TW50大單買進金額|TW50BidVolumePriceXLTrend
data|TW50大戶買賣力|TW50BigSharesBidAskPower
data|TW50紅K家數|TW50BullKSecurities
data|上漲家數|UpSecurities
data|下跌家數|DownSecurities
data|內盤家數|BidSecurities
data|外盤家數|AskSecurities
data|漲停家數|UpLimitSecs
data|跌停家數|DownLimitSecs
data|騰落指標|UDIndicator
data|Delta|Delta
data|Gamma|Gamma
data|RHO|RHO
data|Theta|Theta
data|Vega|Vega
data|三大法人交易買口|MITLongLots
data|三大法人交易買進金額|MITBAmount
data|三大法人交易賣出金額|MITSAmount
data|三大法人交易賣口|MITSShortLots
data|三大法人買方未平倉|MITLongOI
data|三大法人買方未平倉金額|MITLongOIAmount
data|三大法人賣方未平倉|MITShortOI
data|三大法人賣方未平倉金額|MITShortOIAmount
data|五大交易人未沖銷買口|LT5BuyOI
data|五大交易人未沖銷賣口|LT5SellOI
data|五大法人未沖銷買口|LT5SIIBuyOI
data|五大法人未沖銷賣口|LT5SIISellOI
data|估計除息點數|EstimatedExDividendPoint
data|內含值|IntrinsicValue
data|十大交易人未沖銷買口|LT10BuyOI
data|十大交易人未沖銷賣口|LT10SellOI
data|十大法人未沖銷買口|LT10SIIBuyOI
data|十大法人未沖銷賣口|LT10SIISellOI
data|外資交易買口|FINILongLots
data|外資交易買進金額|FINIBAmount
data|外資交易賣出金額|FINISAmount
data|外資交易賣口|FINIShortLots
data|外資買方未平倉口數|FINILongOI
data|外資買方未平倉金額|FINILongOIAmount
data|外資賣方未平倉口數|FINIShortOI
data|外資賣方未平倉金額|FINIShortOIAmount
data|投信交易買口|SBuyLots
data|投信交易買進金額|SBuyAmount
data|投信交易賣出金額|SSellAmount
data|投信交易賣口|SSellLots
data|投信買方未平倉口數|SLongOI
data|投信買方未平倉金額|SLongOIAmount
data|投信賣方未平倉口數|SShortOI
data|投信賣方未平倉金額|SShortOIAmount
data|時間價值|TimeValue
data|未平倉|OpenInterest
data|波動性指數|VolaIndex
data|波動率|Volatility
data|理論價|TheoreticalPrice
data|自營商交易買口|DBuyLots
data|自營商交易買進金額|DBuyAmount
data|自營商交易賣出金額|DSellAmount
data|自營商交易賣口|DSellLots
data|自營商買方未平倉口數|DLongOI
data|自營商買方未平倉金額|DLongOIAmount
data|自營商賣方未平倉口數|DShortOI
data|自營商賣方未平倉金額|DShortOIAmount
data|買權成交量|CallTotalVolume
data|買權未平倉量|CallTotalOI
data|買賣權成交量比率|CPTradeRatio
data|買賣權未平倉量比率|CPOIRatio
data|賣權成交量|PutTotalVolume
data|賣權未平倉量|PutTotalOI
data|隱含波動率|ImpliedVolatility
data|內外盤|BidAskFlag
data|參考價|RefPrice
data|均價|AvgPrice
data|基差|Basis
data|強弱指標|StrongWeak
data|投資建議目標價|AnalystPriceTargets
data|收盤價|Close
data|最低價|Low
data|最高價|High
data|漲停價|UpLimit
data|買入價|BidPrice
data|賣出價|AskPrice
data|跌停價|DownLimit
data|開盤價|Open
data|GDP比例|ToGDPRatio
data|上漲量|UpVolume
data|下跌量|DownVolume
data|估計量|EstimateVolume
data|內盤均量|InAvgVolume
data|內盤成交次數|TotalInTicks
data|內盤量|TradeVolumeAtBid
data|外盤均量|OutAvgVolume
data|外盤成交次數|TotalOutTicks
data|外盤量|TradeVolumeAtAsk
data|委買均|AvgLongShare
data|委賣均|AvgShortShare
data|成交均量|AvgDealedShare
data|成交量|Volume
data|成交金額(元)|TradeValue
data|新聞正向分數|NewsPosScore
data|新聞聲量分數|NewsVolScore
data|新聞負向分數|NewsNegScore
data|漲停委買數量|UpLimitBidUnits
data|漲停委買筆數|UpLimitBidTx
data|漲停委賣數量|UpLimitAskUnits
data|漲停委賣筆數|UpLimitAskTx
data|當日序號|SeqNo
data|盤中整股成交量|BoardLotVolume
data|盤中零股成交量|OddLotVolume
data|盤後量|OffHourVolume
data|累委買筆|TotalBidTx
data|累委賣筆|TotalAskTx
data|累成交筆|TotalMatchTx
data|累計委買|BidUnits
data|累計委賣|AskUnits
data|累計成交|MatchUnit
data|累買成筆|TotalBidMatchTx
data|累賣成筆|TotalAskMatchTx
data|總成交次數|TotalTicks
data|買進中單成交次數|BidTickCount_M
data|買進中單量|BidVolume_M
data|買進中單金額|BidVolumePrice_M
data|買進大單成交次數|BidTickCount_L
data|買進大單量|BidVolume_L
data|買進大單金額|BidVolumePrice_L
data|買進小單成交次數|BidTickCount_S
data|買進小單量|BidVolume_S
data|買進小單金額|BidVolumePrice_S
data|買進特大單成交次數|BidTickCount_XL
data|買進特大單量|BidVolume_XL
data|買進特大單金額|BidVolumePrice_XL
data|資金流向|CashDirect
data|賣出中單成交次數|AskTickCount_M
data|賣出中單量|AskVolume_M
data|賣出中單金額|AskVolumePrice_M
data|賣出大單成交次數|AskTickCount_L
data|賣出大單量|AskVolume_L
data|賣出大單金額|AskVolumePrice_L
data|賣出小單成交次數|AskTickCount_S
data|賣出小單量|AskVolume_S
data|賣出小單金額|AskVolumePrice_S
data|賣出特大單成交次數|AskTickCount_XL
data|賣出特大單量|AskVolume_XL
data|賣出特大單金額|AskVolumePrice_XL
data|跌停委買數量|DownLimitBidUnits
data|跌停委買筆數|DownLimitBidTx
data|跌停委賣數量|DownLimitAskUnits
data|跌停委賣筆數|DownLimitAskTx
data|量比|VolumeRatio
data|開盤委買|DayOpenBid
data|開盤委賣|DayOpenAsk
data|開盤買筆|OpenBidTx
data|開盤賣筆|OpenAskTx
selection|公司成立日期|FoundingDate
selection|公司掛牌日期|ListingDate
selection|公司類別|CompanySize
selection|公司風格|CompanyStyle
selection|公積配股|DividendFromCapitalReserve
selection|員工人數|Numemployees
selection|員工配股率|RatioOfEmployeeBonus－Stock
selection|填息天數|DaysForCashDividendAdjustment
selection|填權天數|DaysForStockDividendAdjustment
selection|投資建議評級|RecommendationRating
selection|新產能預計量產日期|DateOfNewProductionCapacity
selection|月營收|Sales
selection|月營收年增率|Sales－YoY
selection|月營收月增率|Sales－MoM
selection|殖利率|Yield
selection|現金股利|CashDividend
selection|現金股利佔股利比重|CashDividend／TotalDividend
selection|現金股利殖利率|CashDividendYield
selection|發行張數(張)|OutStandingShares
selection|發行張數(萬張)|OutStandingShares
selection|盈餘配股|DividendFromEarning
selection|累計營收|AccSales
selection|累計營收年增率|AccSales－YoY
selection|總市值(億)|MarketCapin100Million
selection|總市值(元)|TotalMarketValue
selection|總經理|GeneralManager
selection|股利合計|TotalDividend
selection|股本(億)|Capital-Lastest
selection|股本(元)|CurrentCapital
selection|股票股利|StockDividend
selection|股票股利佔股利比重|StockDividend／TotalDividend
selection|股票股利殖利率|StockDividendYield
selection|董事長|Chairman
selection|財報股本(億)|CurrentCapitalin100Million
selection|外資成本|FBSCost
selection|外資持股|Fsharesheld
selection|外資持股比例|Fsharesheldratio
selection|外資買張|Ftotalbuy
selection|外資買賣超|Fdifference
selection|外資賣張|Ftotalsell
selection|投信成本|SBSCost
selection|投信持股|Ssharesheld
selection|投信持股比例|Ssharesheldratio
selection|投信買張|Stotalbuy
selection|投信買賣超|Sdifference
selection|投信賣張|Stotalsell
selection|法人持股|InvestorSharesHeld
selection|法人持股比例|InvestorSharesHeldRatio
selection|法人買張|InvestorTotalBuy
selection|法人買賣超張數|InvestorDifference
selection|法人賣張|investorTotalSell
selection|自營商成本|DBSCost
selection|自營商持股|Dsharesheld
selection|自營商持股比例|Dsharesheldratio
selection|自營商自行買賣買張|DSelftotalbuy
selection|自營商自行買賣買賣超|DSelfdifference
selection|自營商自行買賣賣張|DSelftotalsell
selection|自營商買張|Dtotalbuy
selection|自營商買賣超|Ddifference
selection|自營商賣張|Dtotalsell
selection|自營商避險買張|DtotalHedgebuy
selection|自營商避險買賣超|DHedgedifference
selection|自營商避險賣張|DtotalHedgesell
selection|CB剩餘張數|CBConversionAmount
selection|ETF規模|ETFSize
selection|主力平均買超成本|AvgCostLeadertotalbuy
selection|主力平均賣超成本|AvgCostLeadertotalSell
selection|主力成本|LeaderCost
selection|主力持股|LeaderSharesHeld
selection|主力買張|Leadertotalbuy
selection|主力買賣超張數|LeaderDifference
selection|主力賣張|Leadertotalsell
selection|借券張數|SBLBorrowing
selection|借券賣出張數|SBUnits
selection|借券賣出餘額張數|SBRemain
selection|借券餘額張數|SBLbalance
selection|內部人持股|InsiderHodings
selection|內部人持股張數|Insidersharesheld
selection|內部人持股比例|Insidersharesheldratio
selection|內部人持股異動|InsiderHodingsDiff
selection|公積及其他佔股本比重|CapitalReserveOther／Capital
selection|分公司交易家數|BranchesOfTraded
selection|分公司淨買超金額家數|BranchesOfNetBuyers
selection|分公司淨賣超金額家數|BranchesOfNetSellers
selection|分公司買進家數|LongBranches
selection|分公司賣出家數|ShortBranches
selection|吉尼係數|GiniCoefficient
selection|地緣券商買賣超張數|GBDifference
selection|大戶持股人數|Bigsharesheldpeople
selection|大戶持股張數|Bigsharesheld
selection|大戶持股比例|Bigsharesheldratio
selection|官股券商買賣超張數|OBDifference
selection|實戶買張|operatortotalbuy
selection|實戶買賣超張數|operatordifference
selection|實戶賣張|operatortotalSell
selection|實質買盤比|RealLongRatio
selection|實質賣盤比|RealShortRatio
selection|庫藏股實際買回張數|Stockbuyvalue
selection|庫藏股預計買回張數|Stockestivalue
selection|控盤者成本線|CostLine
selection|控盤者買張|controllertotalbuy
selection|控盤者買賣超張數|controllerdifference
selection|控盤者賣張|controllertotalsell
selection|散戶持股人數|Retailsharesheldpeople
selection|散戶持股張數|Retailsharesheld
selection|散戶持股比例|Retailsharesheldratio
selection|散戶買張|retailtotalbuy
selection|散戶買賣超張數|retaildifference
selection|散戶賣張|retailtotalsell
selection|機構持股|13FHoldings
selection|機構持股比重|13FHoldingsRate
selection|現券償還張數|ShortSalesRS
selection|現股當沖張數|NormalDayTrades
selection|現股當沖買進金額|DayTradeBValue
selection|現股當沖賣出金額|DayTradeSValue
selection|現金償還張數|POMRC
selection|現金增資佔股本比重|CashIncrease／Capital
selection|當日沖銷張數|Daytradeshares
selection|盈餘轉增資佔股本比重|CaptialIncreaseFromEarning／Capital
selection|籌碼鎖定率|RatioOfMajorHolder
selection|綜合前十大券商買賣超張數|IB10Difference
selection|總持股人數|TotalSharesHeldPeople
selection|股票基金持有檔數|HoldingByFunds
selection|董監持股|DirectorHeld
selection|董監持股佔股本比例|DirectorHeld／Capital
selection|董監質設比例|DSmortgageratio
selection|買家數|NetLongBranches
selection|買進公司家數|LongSecurityFirms
selection|賣出公司家數|ShortSecurityFirms
selection|賣家數|NetShortBranches
selection|關聯券商買賣超張數|CorrelationBrokerDifference
selection|關鍵券商買賣超張數|KeyBrokerDifference
selection|集保張數|SharesUnderCentralCustody
selection|集保張數佔發行張數百分比|SharesUnderCentralCustody％
selection|借券賣出還券張數|SBStcokDiff
selection|券資比|ShortSale／Margin
selection|融券使用率|ShortSell％
selection|融券增減張數|ShortSaleNew
selection|融券買進張數|ShortSaleRecall
selection|融券賣出張數|ShortSales
selection|融券餘額佔股本比例|Shortsaleremain／Capital
selection|融券餘額張數|ShortSaleRemain
selection|融資使用率|pomusingratio
selection|融資增減張數|pomnew
selection|融資維持率|Pomremainratio
selection|融資買進張數|POMBuy
selection|融資賣出張數|POMSell
selection|融資限額張數|MarginLimit
selection|融資餘額佔股本比例|Pomremain／Capital
selection|融資餘額張數|Pomremain
selection|資券互抵張數|MarginTrades
selection|週轉率|TurnOverRatio
selection|還券張數|SBLreturn
selection|主力買賣超張數|LeaderDifference
selection|均價|AvgPrice
selection|成交量|Volume
selection|成交金額(億)|TradeValue
selection|收盤價|Close
selection|最低價|Low
selection|最高價|High
selection|月營收|Sales
selection|本益比|PERatio
selection|殖利率|Yield
selection|每股稅後淨利(元)|EPS
selection|法人買賣超張數|InvestorDifference
selection|漲跌幅|Change(％)
selection|營業毛利率|GrossMargin
selection|總市值(億)|MarketCapin100Million
selection|股價淨值比|PBRatio
selection|股東權益報酬率|ROE
selection|轉換價格|ConversionPrice
selection|開盤價|Open
selection|下一次董監改選年|NextElectionYearOfBoardOfDirectors
selection|停止轉換結束日|StopConvertingED
selection|停止轉換起始日|StopConvertingSD
selection|庫藏股結束日期|Stockenddate
selection|庫藏股開始日期|Stockstartdate
selection|新股上市日|LaunchDayOfNewShares
selection|日期|Date
selection|最後交易日|LastTradeDate
selection|最後過戶日期|LastTransferDay
selection|法說會日期|InvestorConferenceDate
selection|減資新股上市日|LaunchDayOfCapitalReduction
selection|減資日期|CapitalReductionDate
selection|減資最後過戶日|LastTransferDateOfCapitalReduction
selection|減資比例|CapitalReductionRatio
selection|現增價格|CashIncrementAmount
selection|現增新股上市日|LaunchDayOfNewSharesCashIncrement
selection|現增最後過戶日|LastTransferDayOfCashIncrement
selection|現增比率|RatioofCashIncrement
selection|現增繳款日期|DateofCashIncrement
selection|現增金額|PriceofCashIncrement
selection|股利年度|DividendYear
selection|股東會日期|DateofMeetingofShareHolders
selection|董監事就任日期|DateOfBoardOfDirectorInaugurate
selection|處置結束日期|DispositionED
selection|處置開始日期|DispositionSD
selection|融券最後回補日|ShortSaleFinalRecallDate
selection|除息值|ExDividendValue
selection|除息年度|ExDividendYear
selection|除息日期|ExDividendDate
selection|除權值|ExRightValue
selection|除權年度|ExRightYear
selection|除權息值|ExDividendRightValue
selection|除權息年度|ExDividendRightYear
selection|除權息日期|ExDividendRightDate
selection|除權日期|ExRightDate
selection|(存貨)應收帳款__營收|(存貨+應收帳款)／營收
selection|一年內到期長期負債|CurrentOfLong－TermDebt
selection|借款依存度|Debt／Eqity ％
selection|其他應付款|OtherReceivable
selection|其他應收款|BadDebtAllOther
selection|其他流動負債|OtherCurrentLiabilities
selection|其他流動資產|OtherCurrentAssets
selection|其他資產|TotalOtherAssets
selection|加權平均股數|WeightedAverageCapitalStock
selection|合約負債|ContractLiabilities
selection|固定資產|TotalFixedAssets
selection|固定資產成長率|YOY％－FixedAssets
selection|固定資產週轉率(次)|FixedAssetTurnover
selection|外幣換算調整數|AdjustmentForFX
selection|存貨|Inventories
selection|存貨及應收帳款_淨值|Inventory
selection|存貨營收比|Inventory／Sales
selection|存貨週轉率(次)|InventoryTurnover
selection|庫藏股票帳面值|TreasuryStock
selection|應付商業本票|BillsIssued
selection|應付帳款付現天數|Days－A／P Turnover
selection|應付帳款及票據|AccountsPayable＆NotesPayable
selection|應收帳款及票據|AccountsReceivable＆NotesReceivable
selection|應收帳款週轉次數|AccountsReceivablesTurnover
selection|應收帳款週轉率(次)|AccountsReceivableNotesReceivableTurnover
selection|或有負債比率|Contingent Liab／Equity
selection|普通股股本|CapitalCommonStocks
selection|有息負債利率|Int.Exp.／Debt
selection|未完工程及預付款|ConstructionProcess＆Prepayment
selection|每股流動淨資產|NetCurrentAssetsPerShare
selection|流動比率|CurrentRatio
selection|流動負債|TotalCurrentLiabilities
selection|流動資產|TotalCurrentAssets
selection|淨值成長率|YOY％－TotalEquity
selection|淨值週轉率|EquityTurnover
selection|無形資產|IntangibleAssets
selection|特別股股本|CapitalPreferredStocks
selection|短期借支|LoanToOther－ShortTerm
selection|短期借款|Short－TermBorrowing
selection|總流通在外股數|TotalSharesOutstanding
selection|總資產成長率|YOY％－TotalAssets
selection|總資產週轉率(次)|TotalAssetTurnover
selection|股東權益總額|TotalEquity
selection|背書保證佔淨值比|％OfEndorsementsGuarantees
